station_name,latitude,longitude,location_type
"Ba Ria - Vung Tau, Vietnam",10.5417,107.2425,urban
"Phuoc Hiep, Thanh pho Ba Ria, Ba Ria - Vung Tau, Vietnam",10.5417,107.2425,urban
"Thanh pho Ba Ria, Ba Ria - Vung Tau, Vietnam",10.5417,107.2425,urban
"Vung Tau, Ba Ria - Vung Tau, Vietnam",10.5417,107.2425,urban
"phuong 7, Vung Tau, Ba Ria - Vung Tau, Vietnam",10.5417,107.2425,urban
"Bac Giang, Bac Giang, Vietnam",21.2734,106.3223,urban
"Bac Ninh Phong Coc, Bac Giang, Bac Giang, Vietnam",21.2734,106.3223,urban
"Bac Ninh Phu Lang, Bac Giang, Bac Giang, Vietnam",21.2734,106.3223,urban
"Lang Son Dong Tan Huu Lung, Bac Giang, Bac Giang, Vietnam",21.2734,106.3223,urban
"Bac Ninh Binh Dinh, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,urban
"Bac Ninh KCN Tien Son, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,industrial
"Bac Ninh Kcn Qua, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,industrial
"Bac Ninh Monitoring Center Suoi Hoa Ward Bac Ninh City, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,urban
"Bac Ninh Peoples Committee Of Yen Phong, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,urban
"Bac Ninh Phu Xa Van Mon, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,rural
"Bac Ninh Thuan Thanh Inter Area, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,urban
"Bac Ninh Tieu Hoc Dai Bai, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,urban
"Bac Ninh Ubnd Aai Aang, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,urban
"Bac Ninh Ubnd Que Vu, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,urban
"Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,urban
"Ha Noi UBND TT Soc Son, Bac Ninh, Bac Ninh, Vietnam",21.1218,106.078,urban
"Binh Dinh, Vietnam",13.783,109.224,urban
"Gia Lai UBND thi xa An Khe, Quy Nhon, Binh Dinh, Vietnam",13.783,109.224,rural
"Ngo May, Quy Nhon, Binh Dinh, Vietnam",13.783,109.224,urban
"Quy Nhon, Binh Dinh, Vietnam",13.783,109.224,urban
"ong a, Quy Nhon, Binh Dinh, Vietnam",13.783,109.224,urban
"Binh Duong, Vietnam",11.069,106.654,urban
"Hiep Thanh, Thanh pho Thu Dau Mot, Binh Duong, Vietnam",11.069,106.654,urban
"Tay Ninh Thi xa Trang Bang, Thu Dau Mot, Binh Duong, Vietnam",11.069,106.654,rural
"Thanh pho Thu Dau Mot, Binh Duong, Vietnam",11.069,106.654,urban
"Thu Dau Mot, Binh Duong, Vietnam",11.069,106.654,urban
"Can Tho Ninh Kieu KTTV Tram cam bien, Can Tho, Can Tho, Vietnam",10.0452,105.7469,urban
"Can Tho, Can Tho, Vietnam",10.0452,105.7469,urban
"Can Tho, Vietnam",10.0452,105.7469,urban
"Cao BaNgtraM Khi Ttqt, Cao Bang, Cao BaNg, Vietnam",22.6657,106.268,urban
"Cao Bang, Cao BaNg, Vietnam",22.6657,106.268,urban
"Cao Bang Phuong De Tham, Cao Bang, Cao Bang, Vietnam",22.6657,106.268,urban
"Da Nang Western Hoa Thuan, Da Nang, Da Nang, Vietnam",16.0544,108.2022,urban
"Da Nang, Da Nang, Vietnam",16.0544,108.2022,urban
"Hai Chau I, Da Nang, Da Nang, Vietnam",16.0544,108.2022,urban
"Gia Lai Phu Dong, Pleiku, Gia Lai, Vietnam",13.8079,108.1094,urban
"Gia Lai Thong Nhat Ward Pleiku, Pleiku, Gia Lai, Vietnam",13.8079,108.1094,urban
"Pleiku, Gia Lai, Vietnam",13.8079,108.1094,urban
"Tra Da, Pleiku, Gia Lai, Vietnam",13.8079,108.1094,industrial
"Ha Nam Province, Vietnam",20.5833,105.9167,urban
"Ha Noi UNBD TT Van Dinh ung Hoa, Phu Ly, Ha Nam, Vietnam",20.5833,105.9167,urban
"Hai Ba Trung, Thanh pho Phu Ly, Ha Nam, Vietnam",20.5833,105.9167,urban
"Luu Hoang, Phu Ly, Ha Nam, Vietnam",20.5833,105.9167,urban
"Minh Khai Ward, Phu Ly, Ha Nam Province, Vietnam",20.5833,105.9167,urban
"Phu Ly, Ha Nam Province, Vietnam",20.5833,105.9167,urban
"Phu Ly, Ha Nam, Vietnam",20.5833,105.9167,urban
"Thanh pho Phu Ly, Ha Nam, Vietnam",20.5833,105.9167,urban
"Bac Ninh Chau Khe, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Bac Ninh UBND xa Xuan Lam, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Bac Ninh gan KCN Yen Phong, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,industrial
"Ban Dao Linh Dam, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Dam Trau phuong Bach Dang, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi Cung thieu nhi Ha Noi Hoan Kiem, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi Hong Ha, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi Lang Thuong, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi Mam non Van Ha Dong Anh, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi Man non Tu Lien quan Tay Ho, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi Nha van hoa thon Xa Cau ung Hoa, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi Quang truong Dong Kinh Nghaa Thuc, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi TT giao luu van hoa pho co Hoan Kiem, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi Truong THCS Van Yen Ha dong, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi UBND TT Lien Quan Thach That, Son Tay, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ha Noi UBND Xa An Khanh Hoai Duc, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi 36A Pham Van Dong, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi Environmental Protection Department, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi Ho Thanh Cong Management Building, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi Hoan Kiem District Police Headquarters, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi Kim Lien Kindergarten, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi Police Headquarters P. Hang Ma, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi US Embassy, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi Ubnd P Hoang Van Thu Hoang Mai, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi Ubnd Tay Mo, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hoan Kiem District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Hung Yen Nha van hoa xa Tan Quang h.Van Lam, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"KDT Tay ho Tay Bac Tu Liem, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Long Bien District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Long Bien, Ha Noi, Vietnam",21.0285,105.8542,urban
"Mam non Khuong Trung Thanh Xuan, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Nam Tu Liem, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ngoc Lam, Long Bien, Ha Noi, Vietnam",21.0285,105.8542,urban
"Nha van hoa thon Sap Mai, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Nhan My, Nam Tu Liem, Ha Noi, Vietnam",21.0285,105.8542,urban
"North Tu Liem District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Pho Nguyen Duy Trinh, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Phuong Cua Nam, Hoan Kiem District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Phuong Ngoc Lam, Long Bien District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Phuong Phuong Liet, Thanh Xuan District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Phuong Thanh Xuan Trung, Thanh Xuan District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Phuong Trung Van, South Tu Liem District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Research Center for Environmental Monitoring and Modeling, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Soc Son District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Son Tay, Ha Noi, Vietnam",21.0285,105.8542,urban
"South Tu Liem District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Thanh Xuan District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Tram y te xa Sai Son Quoc Oai, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Tru so cong an xa Tu Hiep Thanh Tri, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"UBND P Cau Dien Nam Tu Liem, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"UBND Phuong Dien Bien Ba Dinh, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"UBND TT Chuc Son Chuong, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"UBND TT Kim Bai Thanh Oai, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Ubnd P Minh Khai, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"United Nations International School Of Hanoi, Hanoi, Ha Noi, Vietnam",21.0285,105.8542,urban
"Xa Trung Gia, Soc Son District, Ha Noi, Vietnam",21.0285,105.8542,rural
"Xuan Tao Ward, North Tu Liem District, Ha Noi, Vietnam",21.0285,105.8542,urban
"Bac Ninhubnd Xa Cao DuC Gia Binh, Hai Duong, HaI Duong, Vietnam",20.9406,106.3209,rural
"Haiphong, HaI Phong, Vietnam",20.8449,106.6881,urban
"Quang Ninh Nam, Haiphong, HaI Phong, Vietnam",20.8449,106.6881,urban
"Quang Ninh People Committee Of Uong Bi City, Haiphong, HaI Phong, Vietnam",20.8449,106.6881,urban
"Quang Ninh Peoples Committee Of Mao Khe Ward, Haiphong, HaI Phong, Vietnam",20.8449,106.6881,urban
"Hai Duong Co Dung Kim Thanh, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,highway
"Hai Duong Gan nhiet Dien Pha Lai Chi Linh, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,industrial
"Hai Duong Hoi Doanh Nghiep Kinh Mon, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,highway
"Hai Duong TT Ke Sat Binh Giang, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,highway
"Hai Duong TT Lai Cach Cam Giang, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,highway
"Hai Duong TT Phu Thai Kim Thanh, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,highway
"Hai Duong Tram Tan Binh TP Hai Duong, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,highway
"Hai Duong Tram Y te Duy Tan Kinh Mon, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,highway
"Hai Duong UBND TP Chi Linh, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,highway
"Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,urban
"Khu Tu Thong, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,urban
"Quang Ninh Nhue Ho Dong Trieu, Hai Duong, Hai Duong, Vietnam",20.9406,106.3209,urban
"Hai Duong TT Minh Tan Kinh Mon, Haiphong, Hai Phong, Vietnam",20.8449,106.6881,highway
"Hai Phong Phu Lien, Haiphong, Hai Phong, Vietnam",20.8449,106.6881,urban
"Haiphong, Hai Phong, Vietnam",20.8449,106.6881,urban
"Ngo Quyen District, Hai Phong, Vietnam",20.8449,106.6881,urban
"Phuong Cau Dat, Ngo Quyen District, Hai Phong, Vietnam",20.8449,106.6881,urban
"Ba Dinh, Hanoi, Hanoi, Vietnam",21.0285,105.8542,urban
"Chuong My, Hanoi, Vietnam",21.0285,105.8542,urban
"Hanoi, Hanoi, Vietnam",21.0285,105.8542,urban
"Hanoi, Vietnam",21.0285,105.8542,urban
"Xuan Mai Town Committee, Chuong My, Hanoi, Vietnam",21.0285,105.8542,urban
"Duong Ngo Quang Tham, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.8231,106.6297,highway
"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.8231,106.6297,highway
"Ho Chi Minh City US Consulate, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.8231,106.6297,urban
"Ho Chi Minh City, Ho Chi Minh, Vietnam",10.8231,106.6297,urban
"Long An TT van hoa huyen Can Giuoc, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.8231,106.6297,urban
"Long An xa Duc Lap Ha, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.8231,106.6297,urban
"Tp Ho Chi Minh Duong Nguyen Van Tao, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.8231,106.6297,highway
"Cham Mat, Dan Chu, Hoa Binh Province, Vietnam",20.6525,105.3376,urban
"Dan Chu, Hoa Binh Province, Vietnam",20.6525,105.3376,urban
"Hoa Binh Province, Vietnam",20.6525,105.3376,urban
"Hien Nam, Thanh pho Hung Yen, Hung Yen, Vietnam",20.6464,106.0538,urban
"Hung Yen So TNMT 437 Nguyen Van Linh, Hung Yen, Hung Yen, Vietnam",20.6464,106.0538,urban
"Hung Yen, Hung Yen, Vietnam",20.6464,106.0538,urban
"Hung Yen, Vietnam",20.6464,106.0538,urban
"Thanh pho Hung Yen, Hung Yen, Vietnam",20.6464,106.0538,urban
"Nha Trang, Khanh Hoa, Vietnam",12.2588,109.0521,urban
"Nha Trang, Nha Trang, Khanh Hoa, Vietnam",12.2588,109.0521,urban
"Ninh An, Thi xa Ninh Hoa, Khanh Hoa, Vietnam",12.2588,109.0521,rural
"Thi xa Ninh Hoa, Khanh Hoa, Vietnam",12.2588,109.0521,rural
"Vinh Luong, Nha Trang, Khanh Hoa, Vietnam",12.2588,109.0521,urban
"Lam Dong, Vietnam",11.5755,108.1426,urban
"Phuong 6, Thanh pho a Lat, Lam Dong, Vietnam",11.5755,108.1426,urban
"Thanh pho a Lat, Lam Dong, Vietnam",11.5755,108.1426,urban
"Huu Lung District, Lang Son Province, Vietnam",21.8538,106.761,urban
"Lang Son Province, Vietnam",21.8538,106.761,urban
"Lang Son phuong Chi Lang TP Lang Son, Lang Son, Lang Son, Vietnam",21.8538,106.761,urban
"Lang Son xa Hong Phong Cao Loc, Lang Son, Lang Son, Vietnam",21.8538,106.761,rural
"Lang Son, Lang Son, Vietnam",21.8538,106.761,urban
"Lang Son, Vietnam",21.8538,106.761,urban
"Tan Thanh, Huu Lung District, Lang Son Province, Vietnam",21.8538,106.761,urban
"Lao Cai Tram gan KCN Tang Loong 2, Lao Cai, Lao Cai, Vietnam",22.4862,103.9505,industrial
"Lao Cai, Lao Cai, Vietnam",22.4862,103.9505,urban
"Lao Cai, Vietnam",22.4862,103.9505,urban
"Lao Caikcn Taloong1, Lao Cai, Lao Cai, Vietnam",22.4862,103.9505,industrial
"Long An TT van hoa huyen Ben Luc, Tan An, Long An, Vietnam",10.6926,106.1408,urban
"Long An, Vietnam",10.6926,106.1408,urban
"Phuong 2, Thanh pho Tan An, Long An, Vietnam",10.6926,106.1408,urban
"Tan An, Long An, Vietnam",10.6926,106.1408,urban
"Thanh pho Tan An, Long An, Vietnam",10.6926,106.1408,urban
"Nghe An Truong Thi, Vinh, Nghe An, Vietnam",19.2483,104.9204,urban
"Nghe An, Vietnam",19.2483,104.9204,urban
"Vinh, Nghe An, Vietnam",19.2483,104.9204,urban
"Vinh, Vinh, Nghe An, Vietnam",19.2483,104.9204,urban
"Ninh Binh Cuc Phuong, Ninh Binh, Ninh Binh, Vietnam",20.25,105.975,urban
"Ninh Binh, Ninh Binh, Vietnam",20.25,105.975,urban
"Ninh Binh, Vietnam",20.25,105.975,urban
"Ninh Thuan, Vietnam",11.6922,108.9,urban
"Phu Ha, Thanh pho Phan Rang - Thap Cham, Ninh Thuan, Vietnam",11.6922,108.9,urban
"Thanh pho Phan Rang - Thap Cham, Ninh Thuan, Vietnam",11.6922,108.9,urban
"Phu Tho, Vietnam",21.3737,105.2225,urban
"Viet Tri, Phu Tho, Vietnam",21.3737,105.2225,urban
"Viet Tri, Viet Tri, Phu Tho, Vietnam",21.3737,105.2225,urban
"Dong Hoi, Quang Binh Province, Vietnam",17.6108,106.425,urban
"Phuong Dong Hai, Dong Hoi, Quang Binh Province, Vietnam",17.6108,106.425,urban
"Quang Binh Province, Vietnam",17.6108,106.425,urban
"An Xuan, Thanh pho Tam Ky, Quang Nam, Vietnam",15.5774,108.4741,urban
"Quang Nam, Vietnam",15.5774,108.4741,urban
"Thanh pho Tam Ky, Quang Nam, Vietnam",15.5774,108.4741,urban
"Nguyen Nghiem, Thanh pho Quang Ngai, Quang Ngai, Vietnam",15.1205,108.7243,urban
"Quang Ngai, Vietnam",15.1205,108.7243,urban
"Thanh pho Quang Ngai, Quang Ngai, Vietnam",15.1205,108.7243,urban
"Bach ang, Thanh pho Uong Bi, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Cam Pha, Quang Ninh Province, Vietnam",21.0064,107.2925,urban
"Cam Pha, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Cam Trung, Cam Pha, Quang Ninh Province, Vietnam",21.0064,107.2925,urban
"Ha Long, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Ninh Gan KCN Cai Lan, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,industrial
"Quang Ninh K11 Minh Thanh, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Ninh Nam Cau Trang, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Ninh Province, Vietnam",21.0064,107.2925,urban
"Quang Ninh Trung tam van hoa the thao Cam Pha, Cam Pha, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Ninh Yen My, Ha Long, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Thanh pho Uong Bi, Quang Ninh, Vietnam",21.0064,107.2925,urban
"Quang Tri, Quang Tri, Vietnam",16.7386,107.0911,urban
"Quang Tri, Vietnam",16.7386,107.0911,urban
"Vietnam 3 PurpleAir, Quang Tri, Quang Tri, Vietnam",16.7386,107.0911,urban
"Son La P To Hieu KTTV Tram cam bien, Son La, Son La, Vietnam",21.325,103.918,urban
"Son La, Son La, Vietnam",21.325,103.918,urban
"Son La, Vietnam",21.325,103.918,urban
"Tay Ninh Phuong 3 TP Tay Ninh, Tay Ninh, Tay Ninh, Vietnam",11.3667,106.1333,urban
"Tay Ninh, Tay Ninh, Vietnam",11.3667,106.1333,urban
"Tay Ninh, Vietnam",11.3667,106.1333,urban
"Bo Xuyen, Thanh pho Thai Binh, Thai Binh, Vietnam",20.5345,106.3495,urban
"Phu Xuan, Thai Binh, Thai Binh Province, Vietnam",20.5345,106.3495,urban
"Thai Binh Province, Vietnam",20.5345,106.3495,urban
"Thai Binh, Thai Binh Province, Vietnam",20.5345,106.3495,urban
"Thai Binh, Vietnam",20.5345,106.3495,urban
"Thanh pho Thai Binh, Thai Binh, Vietnam",20.5345,106.3495,urban
"Mo Che, Thanh pho Song Cong, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Quan Trieu, Thanh pho Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Thai Nguyen Hung Vuong Street Thai Nguyen City, Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Thanh pho Song Cong, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Thanh pho Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Trung Thanh, Thanh pho Thai Nguyen, Thai Nguyen, Vietnam",21.5941,105.8481,urban
"Nghi Son, Thanh Hoa Province, Vietnam",19.804,105.4392,urban
"Phuong Tinh Hai, Nghi Son, Thanh Hoa Province, Vietnam",19.804,105.4392,urban
"Thanh Hoa Province, Vietnam",19.804,105.4392,urban
"Hue, Thua Thien Hue, Vietnam",16.4678,107.5906,urban
"Thua Thien Hue 83 Hung Vuong, Hue, Thua Thien Hue, Vietnam",16.4678,107.5906,urban
"Thua Thien Hue, Vietnam",16.4678,107.5906,urban
"Khom 9, Thanh pho Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,urban
"Thanh pho Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,urban
"Tra Vinh xa Dan Thanh, Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,rural
"Tra Vinh xa Dong Hai, Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,rural
"Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,urban
"Ham Yen District, Tuyen Quang Province, Vietnam",21.823,105.2149,rural
"Tan Yen, Ham Yen District, Tuyen Quang Province, Vietnam",21.823,105.2149,rural
"Tuyen Quang Province, Vietnam",21.823,105.2149,urban
"Khom 1, Thi xa Binh Minh, Vinh Long, Vietnam",10.0833,105.9667,rural
"Khom 3, Thanh pho Vinh Long, Vinh Long, Vietnam",10.0833,105.9667,urban
"Thanh pho Vinh Long, Vinh Long, Vietnam",10.0833,105.9667,urban
"Thi xa Binh Minh, Vinh Long, Vietnam",10.0833,105.9667,rural
"Vinh Long, Vietnam",10.0833,105.9667,urban
"Ha Noi UBND xa Thanh Xuan Soc Son, Vinh Yen, Vinh Phuc, Vietnam",21.3609,105.5973,rural
"Vinh Phuc, Vietnam",21.3609,105.5973,urban
"Vinh Yen, Vinh Phuc, Vietnam",21.3609,105.5973,urban
